City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Piteå,65.32,21.48,51.8,100,92,5.82,SE,1601506948
Port-Gentil,-0.72,8.78,77.0,83,20,6.93,GA,1601506421
Nome,64.5,-165.41,48.99,57,1,25.28,US,1601506558
Pacific Grove,36.62,-121.92,86.0,62,1,6.93,US,1601506949
Xiongzhou,25.12,114.3,70.54,85,72,1.92,CN,1601506949
Puerto Ayora,-0.74,-90.35,66.99,91,86,8.01,EC,1601506950
Hong Kong,22.29,114.16,79.0,80,99,1.01,HK,1601506950
Mayo,38.89,-76.51,66.2,59,1,6.93,US,1601506950
Ancud,-41.87,-73.82,48.0,81,75,4.7,CL,1601506951
Sambava,-14.27,50.17,72.28,92,57,4.72,MG,1601506951
Penco,-36.73,-72.98,51.8,62,8,16.11,CL,1601506952
Plettenberg Bay,-34.05,23.37,54.81,75,100,5.03,ZA,1601506952
Tautira,-17.73,-149.15,82.4,65,20,8.05,PF,1601506543
Hailar,49.2,119.7,44.01,67,100,12.84,CN,1601506953
Cabo San Lucas,22.89,-109.91,90.0,66,5,9.17,MX,1601506265
Hithadhoo,-0.6,73.08,82.78,73,100,5.82,MV,1601506391
Mossamedes,-15.2,12.15,64.02,87,80,6.58,AO,1601506407
Adrar,20.5,-10.07,93.47,13,17,12.8,MR,1601506255
Tynda,55.17,124.72,37.36,88,91,1.97,RU,1601506954
Kapaa,22.08,-159.32,87.01,66,1,8.05,US,1601506397
Kidal,18.44,1.41,93.43,12,2,9.28,ML,1601506954
Jamestown,42.1,-79.24,60.01,67,90,16.11,US,1601506401
Hede,33.77,120.25,62.92,70,39,0.36,CN,1601506955
Cape Town,-33.93,18.42,55.0,81,75,23.04,ZA,1601506394
Altamont,42.21,-121.74,84.0,21,1,3.36,US,1601506955
Nemuro,43.32,145.57,58.06,80,86,11.27,JP,1601506956
Upernavik,72.79,-56.15,24.37,91,55,5.68,GL,1601506495
Vaini,-21.2,-175.2,78.8,83,20,11.41,TO,1601506164
Ranong,9.97,98.63,79.27,85,83,7.36,TH,1601506957
Ha Tinh,18.33,105.9,77.97,90,98,3.04,VN,1601506803
Avarua,-21.21,-159.78,78.8,83,25,18.34,CK,1601506204
Atuona,-9.8,-139.03,78.15,77,17,20.02,PF,1601506403
Mataura,-46.19,168.86,55.0,67,97,1.01,NZ,1601506401
Pascagoula,30.37,-88.56,78.8,41,1,4.7,US,1601506958
Nizhnevartovsk,60.93,76.55,39.2,93,90,2.24,RU,1601506689
Dhārchula,29.85,80.53,62.4,53,0,4.05,IN,1601506958
Khatanga,71.97,102.5,23.92,98,49,8.28,RU,1601506154
Vardø,70.37,31.11,50.0,87,40,10.29,NO,1601506471
Punta Arenas,-53.15,-70.92,37.4,47,20,25.28,CL,1601506395
Sitka,57.05,-135.33,57.2,93,90,4.52,US,1601506260
Prince Rupert,54.32,-130.32,66.2,68,90,14.99,CA,1601506737
Bathsheba,13.22,-59.52,82.4,83,75,16.11,BB,1601506642
Longyearbyen,78.22,15.64,35.6,93,75,3.36,SJ,1601506434
Uva,56.99,52.19,49.93,91,100,2.57,RU,1601506960
Hilo,19.73,-155.09,87.8,62,40,9.17,US,1601506805
Lüderitz,-26.65,15.16,54.39,68,4,18.68,NA,1601506527
Hobart,-42.88,147.33,55.99,50,20,16.11,AU,1601506137
Anadyr,64.75,177.48,41.0,86,75,4.47,RU,1601506665
Alta Floresta,-9.88,-56.09,85.84,37,78,2.59,BR,1601506961
Yeppoon,-23.13,150.73,68.0,60,20,4.7,AU,1601506962
Carnarvon,-24.87,113.63,60.8,100,0,9.17,AU,1601506646
Thompson,55.74,-97.86,42.8,60,75,16.11,CA,1601506527
Port Elizabeth,-33.92,25.57,57.2,76,20,16.11,ZA,1601506285
Albany,42.6,-73.97,66.0,57,1,6.53,US,1601506962
Talcahuano,-36.72,-73.12,51.8,62,2,16.11,CL,1601506963
Bambous Virieux,-20.34,57.76,68.0,93,20,5.82,MU,1601506963
Busselton,-33.65,115.33,62.01,67,100,13.8,AU,1601506964
Buchanan,5.88,-10.05,75.9,92,100,7.81,LR,1601506964
Deputatsky,69.3,139.9,26.15,93,42,22.77,RU,1601506732
Bayir,37.27,28.22,59.0,72,0,1.12,TR,1601506964
Saint-Philippe,-21.36,55.77,69.8,73,90,4.7,RE,1601506433
Faanui,-16.48,-151.75,78.87,78,4,22.86,PF,1601506407
Paragominas,-2.97,-47.48,80.44,63,92,3.38,BR,1601506822
Rikitea,-23.12,-134.97,71.96,82,65,24.9,PF,1601506390
Ponta do Sol,32.67,-17.1,69.8,77,75,13.87,PT,1601506650
Airai,-8.93,125.41,67.35,54,50,4.14,TL,1601506590
Baharly,38.44,57.43,50.81,42,6,2.77,TM,1601506666
